DOCNUM_ID,PEOPLE,STKCOD,DOCNUM,DOCDAT,TRNQTY,STKDES,NETVAL
41,บ-009,T2654022PA02YK,RN180606008,6/7/2018,1.0,ยางนอก YK 265/40-22 PA02,
42,บ-009,T2057015R624BS00,HP180612001,6/13/2018,1.0,ยางนอก BS 205/70-15R624,
43,บ-009,T2453520K452FK,PN180613003,6/14/2018,1.0,ยางนอก FK 245/35-20 FK452,
44,บ-009,T2355018PXC1S,RN180620005,6/21/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S,
45,บ-009,T2355018PXC1S,RN180621005,6/23/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S,
46,บ-009,T2355518R603,RN180630008,7/2/2018,2.0,ยางนอก DS 235/55-18 R603,
47,บ-009,T1955016AE50,RN180705002,7/6/2018,1.0,ยางนอก YK 195/50-16 AE50,
48,บ-009,T2656018NTGA2NT,RN180705003,7/6/2018,2.0,ยางนอก NT 265/60-18 NTGA2,
48,บ-009,T2656018G015,RN180705003,7/6/2018,1.0,ยางนอก YK 265/60-18 G015,
49,บ-009,T2356017WRANGLERGY,RN180706008,7/7/2018,1.0,ยางนอก GY 235/60-17 WRANGLER TRIPIEMAX,
50,บ-009,T2055016MY02BS00,RN180707006,7/9/2018,1.0,ยางนอก BS 205  /50 -16 MY02,
51,บ-009,T1856016EC300,RN180713007,7/14/2018,1.0,ยางนอก DL 185/60-16 EC300,
52,บ-009,T1854515NS2NK,RN180713008,7/14/2018,4.0,ยางนอก NK 185/45-15 NS2,
53,บ-009,T2155517AE50YK,HP180713001,7/14/2018,2.0,ยางนอก YK 215/55-17 AE50,
53,บ-009,T2255017EP200BS00,HP180713001,7/14/2018,1.0,ยางนอก BS 225 / 50 -17 Ecopia EP200,
54,บ-009,T2254518C1STOYO,RN180719003,7/21/2018,1.0,ยางนอก TOYO 225/45-18 C1S,
55,บ-009,T1856016EC300,HP180713002,7/21/2018,1.0,ยางนอก DL 185/60-16 EC300,
56,บ-009,T2657016G015YK,RN180722003,7/23/2018,4.0,ยางนอก YK 265/70-16 G015,
57,บ-009,T2257015D603,RN180724003,7/26/2018,2.0,ยางนอก DS 225/70-15 D603,
57,บ-009,T2655020NT420,RN180724003,7/26/2018,6.0,ยางนอก NT 265/50-20 NT420,
58,บ-009,T2656018NT420NT,RN180803005,8/4/2018,4.0,ยางนอก NT 265/60-18 NT420,
59,บ-009,T1656013R203DS,RN180821004,8/22/2018,8.0,ยางนอก DS 165/60-13 R203,
60,บ-009,MAX WHEEL,RN180821005,8/22/2018,4.0,ล้อแม็กซ์,
61,บ-009,T2356016T005A,RN180904003,9/6/2018,4.0,ยางนอก BS 235/60-16 T005A,
62,บ-009,T2755520K02BF,HP180903001,9/7/2018,4.0,ยางนอก BF 275/55-20 K02,
63,บ-009,T2657516K02BF,RN180908006,9/12/2018,4.0,ยางนอก BF 265/75-16 K02,
64,บ-009,T1557012R202DS,RN180907003,9/12/2018,2.0,ยางนอก DS 155/70-12 R202,
65,บ-009,T2656018D684BS00,RN180912002,9/13/2018,1.0,ยางนอก BS 265/60-18 D684,
66,บ-009,T2454518X401MT00,RN180915006,9/15/2018,2.0,ยางนอก MT 245/45-18 X401,
67,บ-009,MAX WHEEL,RN180915007,9/15/2018,2.0,ล้อแม็กซ์,
68,บ-009,T1856015E70YK,RN180922006,9/24/2018,3.0,ยางนอก YK 185/60-15 E70,
68,บ-009,T1955016AE50,RN180922006,9/24/2018,5.0,ยางนอก YK 195/50-16 AE50,
68,บ-009,T2657016G015YK,RN180922006,9/24/2018,4.0,ยางนอก YK 265/70-16 G015,
68,บ-009,T2656517G015,RN180922006,9/24/2018,4.0,ยางนอก YK 265/65-17 G015,
69,บ-009,T2656517NT420NT,RN180922007,9/24/2018,2.0,ยางนอก NT 265/65-17 NT420,
69,บ-009,T2454518X401MT00,RN180922007,9/24/2018,4.0,ยางนอก MT 245/45-18 X401,
70,บ-009,T2157015T88DS,HP180928001,9/28/2018,7.0,ยางนอก DS 215/70-15 T88,
70,บ-009,T2057015T88,HP180928001,9/28/2018,5.0,ยางนอก DS 205/70-15 T88,
71,บ-009,T2655020NT420,RN180928002,9/28/2018,2.0,ยางนอก NT 265/50-20 NT420,
71,บ-009,T2153518NS2NK,RN180928002,9/28/2018,4.0,ยางนอก NK 215/35-18 NS2,
72,บ-009,MAX WHEEL,RN180928004,9/28/2018,4.0,ล้อแม็กซ์,
73,บ-009,T2454518TECHNO SPORT,RN181002006,10/3/2018,2.0,ยางนอก BS 245/45-18 TECHNO SPORT,
74,บ-009,T2657516R405,HP181005001,10/6/2018,3.0,ยางนอก DS 265/75-16 R405,
75,บ-009,T1656013R203DS,HP181008001,10/11/2018,20.0,ยางนอก DS 165/60-13 R203,
76,บ-009,T2355518PXTSSTOYO,RN181011004,10/13/2018,4.0,ยางนอก TOYO 235/55-18 PXTSS,
77,บ-009,MAX WHEEL,RN181008005,10/16/2018,4.0,ล้อแม็กซ์,
78,บ-009,T2157015T88DS,RN181016005,10/17/2018,3.0,ยางนอก DS 215/70-15 T88,
79,บ-009,T1655015NS2NK00,RN181016006,10/17/2018,2.0,ยางนอก NK 165/50-15 NS-2,
80,บ-009,T2056016NER380,HP181017001,10/19/2018,1.0,ยางนอก TOYO 205/60-16 NER380,
81,บ-009,T1955515F1GSDGY00,HP181027001,10/29/2018,1.0,ยางนอก GY 195 /55 -15 F1 ,
82,บ-009,S-COIL SPRING-01,RN181028003,10/30/2018,1.0,สปริงโหลด,
83,บ-009,T2157015T88DS,RN181028004,10/30/2018,20.0,ยางนอก DS 215/70-15 T88,
84,บ-009,MAX WHEEL,RN181129004,12/1/2018,4.0,ล้อแม็กซ์,
85,บ-009,SPING00,RN181201004,12/6/2018,1.0,สปริงโหลด,
86,บ-009,T2354518SPSPORT01FS,RR181213001,12/14/2018,1.0,ยางนอก FS 235/45-18 SP SPORT01,
87,บ-009,T1954515NS2NK,RN181206002,12/15/2018,4.0,ยางนอก NK 195/45-15 NS-2,
88,บ-009,MAX WHEEL,RN181215004,12/19/2018,4.0,ล้อแม็กซ์,
89,บ-009,T2656518K02BF,RN181223001,12/25/2018,4.0,ยางนอก BF 265/65-18 K02,
90,บ-009,T1956515R20DS,HP181223001,12/25/2018,4.0,ยางนอก DS 195/65-15 R20,
91,บ-009,MAX WHEEL,RN181213006,12/28/2018,4.0,ล้อแม็กซ์,
92,บ-009,T2057015T88,HP190108001,1/17/2019,3.0,ยางนอก DS 205/70-15 T88,
92,บ-009,T2157015T88DS,HP190108001,1/17/2019,17.0,ยางนอก DS 215/70-15 T88,
92,บ-009,T2354518RA801E,HP190108001,1/17/2019,8.0,ยางนอก DS 235/45-18 RA801E,
92,บ-009,T2254518R702,HP190108001,1/17/2019,8.0,ยางนอก DS 225/45-18 R702,
92,บ-009,T2453520R702,HP190108001,1/17/2019,4.0,ยางนอก DS 245/35-20 R702,
93,บ-009,T2156516R611BS,HP190108002,1/17/2019,4.0,ยางนอก BS 215/65-16 R611,
94,บ-009,T1557012R202DS,HP190116001,1/17/2019,8.0,ยางนอก DS 155/70-12 R202,
94,บ-009,T2156516T88DS,HP190116001,1/17/2019,8.0,ยางนอก DS 215/65-16 T88,
94,บ-009,T2157015T88DS,HP190116001,1/17/2019,4.0,ยางนอก DS 215/70-15 T88,
95,บ-009,MAX WHEEL,HP190116002,1/25/2019,4.0,ล้อแม็กซ์,
96,บ-009,T2454018PS31KH,RN190122004,1/25/2019,2.0,ยางนอก KH 245/40-18 PS31,
97,ส-018,B-GS-105D31R,IV1712031,12/7/2017,1.0,แบตเตอรี่ GS 105D31R,
98,ส-018,B-3K-N150,IV1712053,12/12/2017,2.0,แบตเตอรี่ 3K 150A 12V,
99,ส-018,B-GS-105D31L,IV1712063,12/14/2017,1.0,แบตเตอรี่ GS 105D31,
100,ส-018,B-GS-GT195L,IV1712079,12/18/2017,1.0,แบตเตอรี่ GS GT195,
101,ส-018,T23555173STML,IV1712090,12/20/2017,4.0,ยางนอก ML 235/55-17 3ST,
101,ส-018,M-04-01-0003,IV1712090,12/20/2017,4.0,จุ๊บเติมลม ฟรี,
101,ส-018,M-08-02-0003,IV1712090,12/20/2017,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
102,ส-018,PETRONAS10W30,IV1712100,12/22/2017,6.0,"น้ำมันเครื่อง 10W30 PETRONAS 10,000โล",
102,ส-018,S555,IV1712100,12/22/2017,1.0,กรองเครื่อง,
102,ส-018,M-SERVICE-01,IV1712100,12/22/2017,1.0,ค่าบริการ,
103,ส-018,B-GS-GT120,IV1712107,12/25/2017,2.0,แบตเตอรี่ GS GT120,
104,ส-018,T2157015R611BS00,IV1712108,12/25/2017,4.0,ยางนอก BS 215 / 70 -15 R611,
104,ส-018,M-04-01-0003,IV1712108,12/25/2017,4.0,จุ๊บเติมลม ฟรี,
104,ส-018,M-08-02-0003,IV1712108,12/25/2017,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
105,ส-018,B-GS-GT120,IV1712109,12/25/2017,2.0,แบตเตอรี่ GS GT120,
106,ส-018,B-GS-G120,IV1712110,12/25/2017,1.0,แบตเตอรี่ GS G120R,
107,ส-018,B-GS-EXTRA150L,IV1712112,12/25/2017,2.0,แบตเตอรี่ GS HYBRID EXTRA150L,
108,ส-018,B-GS-EXTRA150L,IV1712111,12/25/2017,1.0,แบตเตอรี่ GS EXTRA150L,
109,ส-018,PETRONAS10W30,IV1712114,12/26/2017,7.0,"น้ำมันเครื่อง 10W30 PETRONAS 10,000โล",
109,ส-018,S555,IV1712114,12/26/2017,1.0,กรองเครื่อง,
109,ส-018,M-SERVICE-01,IV1712114,12/26/2017,1.0,ค่าบริการ,
110,ส-018,S-CLUTCH-08,IV1712119,12/27/2017,1.0,แม่ปั๊มครัชล่าง,
110,ส-018,SBREAK-FLUID,IV1712119,12/27/2017,1.0,น้ำมันเบรค,
110,ส-018,M-SERVICE-01,IV1712119,12/27/2017,1.0,ค่าบริการ,
111,ส-018,T2057514RE611BS00,IV1712125,12/28/2017,4.0,ยางนอก BS 205  /75 -14 R611,
111,ส-018,M-04-01-0003,IV1712125,12/28/2017,4.0,จุ๊บเติมลม ฟรี,
111,ส-018,M-08-02-0003,IV1712125,12/28/2017,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
112,ส-018,T2657016EP850BS00,IV1801009,1/5/2018,4.0,ยางนอก BS 265 / 70-16 Ecopia EP850,
112,ส-018,M-04-01-0003,IV1801009,1/5/2018,4.0,จุ๊บเติมลม ฟรี,
112,ส-018,M-08-02-0003,IV1801009,1/5/2018,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
113,ส-018,MOBIL 10W-30,IV1801014,1/8/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล ,
113,ส-018,S555,IV1801014,1/8/2018,1.0,กรองเครื่อง,
113,ส-018,M-SERVICE-01,IV1801014,1/8/2018,1.0,ค่าบริการ,
114,ส-018,MOBIL 10W-30,IV1801016,1/8/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล ,
114,ส-018,S555,IV1801016,1/8/2018,1.0,กรองเครื่อง,
114,ส-018,S-BELT-01,IV1801016,1/8/2018,1.0,สายพานเครื่อง,
114,ส-018,S-BELT-01,IV1801016,1/8/2018,1.0,สายพานแอร์,
114,ส-018,M-SERVICE-01,IV1801016,1/8/2018,1.0,ค่าบริการ,
115,ส-018,MOBIL 10W-40,IV1801017,1/8/2018,4.5,น้ำมันเครื่อง Mobil 10w-40/s2000-10000โล,
115,ส-018,S555,IV1801017,1/8/2018,1.0,กรองเครื่อง,
115,ส-018,AISIN,IV1801017,1/8/2018,3.0,น้ำมันเกียร์,
115,ส-018,P-POWER ATF,IV1801017,1/8/2018,2.0,น้ำมันเพาเวอร์,
115,ส-018,SCOOLANT-01,IV1801017,1/8/2018,3.0,น้ำยา coolant 1L,
115,ส-018,M-SERVICE-01,IV1801017,1/8/2018,1.0,ค่าบริการ,
116,ส-018,AISIN,IV1801019,1/9/2018,4.0,น้ำมันเกียร์,
116,ส-018,M-SERVICE-01,IV1801019,1/9/2018,1.0,ค่าบริการ,
117,ส-018,S-CLUTCH-07,IV1801023,1/9/2018,1.0,แม่ปั๊มครัชบน,
117,ส-018,SBREAK-FLUID,IV1801023,1/9/2018,1.0,น้ำมันเบรค,
117,ส-018,M-SERVICE-01,IV1801023,1/9/2018,1.0,ค่าบริการ,
118,ส-018,MOBIL 10W-30,IV1801024,1/9/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),
118,ส-018,S555,IV1801024,1/9/2018,1.0,กรองเครื่อง,
118,ส-018,S-RING,IV1801024,1/9/2018,1.0,แหวนรองน็อตน้ำมันเครื่อง,
118,ส-018,ATF CVTF SEMI,IV1801024,1/9/2018,4.0,น้ำมันเกียร์ (1A PTT),
118,ส-018,VALVOLINE,IV1801024,1/9/2018,3.0,น้ำมันเฟืองท้าย valvoline  Limited,
118,ส-018,SCOOLANT-01,IV1801024,1/9/2018,2.0,น้ำยา cooland,
118,ส-018,SBREAK-FLUID,IV1801024,1/9/2018,1.0,น้ำมันเบรค   Shell 0.5 ลิตร,
118,ส-018,P-POWER ATF,IV1801024,1/9/2018,1.0,น้ำมันเพาเวอร์,
118,ส-018,M-SERVICE-01,IV1801024,1/9/2018,1.0,ค่าบริการ,
119,ส-018,SBREAKPAD-02,IV1801033,1/11/2018,1.0,ผ้าเบรคหน้า,
119,ส-018,M-05-01-0001,IV1801033,1/11/2018,2.0,เจียรจานเบรคล้อหน้า ขวา-ซ้าย,
119,ส-018,S-SHOESBREAK,IV1801033,1/11/2018,1.0,ก้ามเบรคหลัง,
119,ส-018,M-05-01-0003,IV1801033,1/11/2018,2.0,เจียรจานเบรคล้อหลัง ขวา-ซ้าย,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,คอมแอร์,
119,ส-018,ล-001,IV1801033,1/11/2018,1.0,ล้างระบบแอร์,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,สายใหญ่,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,สายกลาง,
119,ส-018,M-SERVICE-48,IV1801033,1/11/2018,1.0,แว๊กน้ำยาแอร์,
119,ส-018,S-THERMOS-02,IV1801033,1/11/2018,1.0,วาวล์,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,ไดแอร์,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,คอยส์เย็น,
119,ส-018,M-SERVICE-01,IV1801033,1/11/2018,1.0,ค่าบริการ,
120,ส-018,B-GS-N100,IV1801050,1/15/2018,2.0,แบตเตอรี่ GS N100 (ลูกยาว),
121,ส-018,MOBIL 10W-30,IV1801058,1/16/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),
121,ส-018,S555,IV1801058,1/16/2018,1.0,กรองเครื่อง,
121,ส-018,S555NS0070-321,IV1801058,1/16/2018,1.0,กรองดักน้ำ ,
121,ส-018,S-FUEL FILTER-01,IV1801058,1/16/2018,1.0,กรองโซล่า,
121,ส-018,S-AIR FILTER-02,IV1801058,1/16/2018,1.0,กรองอากาศ,
121,ส-018,S-AIR FILTER-03,IV1801058,1/16/2018,1.0,กรองแอร์,
121,ส-018,SBREAKPAD-02,IV1801058,1/16/2018,1.0,ผ้าเบรคหน้า,
121,ส-018,M-05-01-0001,IV1801058,1/16/2018,2.0,เจียรจานประชิดล้อหน้า ขวา-ซ้าย,
121,ส-018,S-SHOESBREAK,IV1801058,1/16/2018,1.0,ก้ามเบรคหลัง,
121,ส-018,M-05-01-0003,IV1801058,1/16/2018,2.0,เจียรจานดั้มเบรคล้อหลัง ขวา-ซ้าย,
121,ส-018,M-SERVICE-01,IV1801058,1/16/2018,1.0,พวงมาลัย,
121,ส-018,M-SERVICE-01,IV1801058,1/16/2018,1.0,ค่าบริการ,
122,ส-018,B-3K-VS80R,IV1801061,1/16/2018,1.0,แบตเตอรี่ 3K VS80,
123,ส-018,B-GS-G120,IV1801062,1/16/2018,1.0,แบตเตอรี่ GS G120L,
124,ส-018,SWIPER-BLADE-01,IV1801068,1/18/2018,1.0,ก้านปัดน้ำฝน,
125,ส-018,S-TIMING BELT-04,IV1801072,1/19/2018,1.0,ลูกรอกไดร์ชาร์ต,
125,ส-018,M-SERVICE-01,IV1801072,1/19/2018,1.0,ค่าบริการ,
126,ส-018,RACK END-01,IV1801095,1/24/2018,2.0,ลูกหมากแล็ค,
126,ส-018,S-UP BALL JOINT-01,IV1801095,1/24/2018,2.0,ลูกหมากบน,
126,ส-018,S-LOW BALL JOINT-01,IV1801095,1/24/2018,2.0,ลูกหมากล่าง,
126,ส-018,S-TIE ROD END-01,IV1801095,1/24/2018,2.0,คันชักนอก,
126,ส-018,SRBIMPRB1020,IV1801095,1/24/2018,8.0,ยางรองปลายแหนบ,
126,ส-018,SRBI-01,IV1801095,1/24/2018,8.0,ยางหูแหนบ,
126,ส-018,S555NS00TOYOTA001,IV1801095,1/24/2018,1.0,โช๊คหน้า,
126,ส-018,M-SERVICE-01,IV1801095,1/24/2018,1.0,ค่าบริการ,
126,ส-018,M-08-02-0002,IV1801095,1/24/2018,1.0,ตั้งศูนย์,
127,ส-018,T2157015R611BS00,IV1801107,1/29/2018,4.0,ยางนอก BS 215 / 70 -15 R611,
127,ส-018,M-04-01-0003,IV1801107,1/29/2018,4.0,จุ๊บเติมลม ฟรี,
127,ส-018,M-08-02-0003,IV1801107,1/29/2018,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
128,ส-018,PETRONAS10W30,IV1801108,1/29/2018,1.0,น้ำมันเครื่อง 10W30 PETRONAS 6ลิตร/1แกลลอน,
128,ส-018,MOBIL 10W-30,IV1801108,1/29/2018,2.0,น้ำมันเครื่อง Mobil 10w-30/s2000  6ลิตร/1แกลลอน,
129,ส-018,HYDORIC,IV1801109,1/29/2018,5.0,น้ำมันไฮโดรลิค  5ลิตร/1แกลลอน,
129,ส-018,SBREAK-FLUID,IV1801109,1/29/2018,2.0,น้ำมันเบรค,
129,ส-018,P-DISTILLED WATER,IV1801109,1/29/2018,4.0,น้ำกลั่น,
130,ส-018,B-GS-EXTRA150L,IV1801116,1/30/2018,1.0,แบตเตอรี่ GS EXTRA150L,
131,ส-018,B-GS-105D31L,IV1802008,2/2/2018,2.0,แบตเตอรี่ GS 105D31(12V85AM),
132,ส-018,B-BOSS-55B24R,IV1802025,2/5/2018,1.0,แบตเตอรี่ GS 185L,
133,ส-018,M-02-01-0001,IV1802026,2/5/2018,2.0,สลับยาง-หน้าหลัง,
133,ส-018,M-03-01-1516,IV1802026,2/5/2018,2.0,ถ่วงล้อ,
133,ส-018,M-08-02-0002,IV1802026,2/5/2018,1.0,ตั้งศูนย์,
134,ส-018,ATF CVTF SEMI,IV1802027,2/5/2018,4.0,น้ำมันเกียร์ 1A PTT,
134,ส-018,SBREAKPAD-02,IV1802027,2/5/2018,1.0,ผ้าเบรคหน้า,
134,ส-018,M-05-01-0001,IV1802027,2/5/2018,2.0,เจียรจานเบรคหน้า,
134,ส-018,S-SHOESBREAK,IV1802027,2/5/2018,1.0,ก้ามเบรคหลัง,
134,ส-018,M-05-01-0003,IV1802027,2/5/2018,2.0,เจียรจานเบรคหลัง,
134,ส-018,M-SERVICE-01,IV1802027,2/5/2018,1.0,ค่าบริการ,
135,ส-018,T2157516UE168HK,IV1802030,2/5/2018,4.0,ยางนอก MAXXIS  215/75-16 UE168,
135,ส-018,M-04-01-0003,IV1802030,2/5/2018,4.0,จุ๊บเติมลม ฟรี,
135,ส-018,M-08-02-0003,IV1802030,2/5/2018,1.0,ตั้งศูนย์ (เปลี่ยนยาง 4 เส้น ฟรี),
136,ส-018,B-GS-GT150L,IV1802031,2/6/2018,2.0,แบตเตอรี่ GS GT150L (95D31L),
137,ส-018,MOBIL 10W-30,IV1802046,2/8/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),
137,ส-018,S555,IV1802046,2/8/2018,1.0,กรองเครื่อง,
137,ส-018,S-RING,IV1802046,2/8/2018,1.0,แหวนรองน็อตน้ำมันเครื่อง,
137,ส-018,S-AIR FILTER-02,IV1802046,2/8/2018,1.0,กรองอากาศ,
137,ส-018,S-AIR FILTER-03,IV1802046,2/8/2018,1.0,กรองแอร์,
137,ส-018,M-SERVICE-01,IV1802046,2/8/2018,1.0,ค่าบริการ,
138,ส-018,MOBIL 10W-30,IV1802047,2/8/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),
138,ส-018,S555,IV1802047,2/8/2018,1.0,กรองเครื่อง,
138,ส-018,M-SERVICE-01,IV1802047,2/8/2018,1.0,ค่าบริการ,
139,ส-018,M-SERVICE-01,IV1802048,2/8/2018,1.0,ค่าบริการซ่อมไดร์ชาร์ต,
139,ส-018,S555ZZZZBF 68148,IV1802048,2/8/2018,2.0,ลูกปืนล้อหลัง,
139,ส-018,SBEARING-RR,IV1802048,2/8/2018,2.0,เสื้อลูกปืนล้อหลัง,
139,ส-018,S-SEAL-03,IV1802048,2/8/2018,4.0,ซีลล้อหลัง นอกใน,
139,ส-018,S-ARM BUSHING-06,IV1802048,2/8/2018,2.0,ปลอกอัดลูกปืนล้อหลัง,
139,ส-018,SBREAK-FLUID,IV1802048,2/8/2018,1.0,น้ำมันเบรค,
139,ส-018,AMCO-เฟืองท้าย,IV1802048,2/8/2018,1.0,น้ำมันเฟืองท้าย,
139,ส-018,P-PETRO,IV1802048,2/8/2018,1.0,น้ำมันเบนซิลล้าง,
139,ส-018,M-SERVICE-01,IV1802048,2/8/2018,1.0,ค่าบริการ,
140,ส-018,MOBIL 10W-30,IV1802051,2/9/2018,7.0,น้ำมันเครื่อง 10W-30 MOBIL SUPER 2000,
140,ส-018,S555,IV1802051,2/9/2018,1.0,กรองเครื่อง,
140,ส-018,S-RING,IV1802051,2/9/2018,1.0,แหวนรองน็อตน้ำมันเครื่อง,
140,ส-018,S-AIR FILTER-02,IV1802051,2/9/2018,1.0,กรองอากาศ,
140,ส-018,P-DISTILLED WATER,IV1802051,2/9/2018,1.0,น้ำกลั่น,
140,ส-018,M-SERVICE-01,IV1802051,2/9/2018,1.0,ค่าบริการ,
141,ส-018,B-GS-EXTRA120,IV1802053,2/9/2018,1.0,แบตเตอรี่ GS EXTRA120,
142,ส-018,MOBIL 10W-30,IV1802061,2/12/2018,7.0,น้ำมันเครื่อง Mobil 10w-30/s2000-10000โล (1x7L),
142,ส-018,S555,IV1802061,2/12/2018,1.0,กรองเครื่อง,
142,ส-018,M-SERVICE-01,IV1802061,2/12/2018,1.0,ค่าบริการ,
143,ส-018,S-CLUTCH-01,IV1802064,2/12/2018,1.0,หวีครัช,
143,ส-018,S-CLUTCH-02,IV1802064,2/12/2018,1.0,แผ่นครัช,
